编号,模块,标题,严重度,状态,发现,修复,关联
BUG-001,前端 C 端,前端 C 端 · 落地页小屏布局,S2,已验收,2026-09-07 · 用户走查,1dd0b8f/12e14b7,REQ-027
BUG-002,前端 C 端,前端 C 端 · 入口登录判定缺失,S1,已验收,2026-09-07 · 用户走查,70ae041,REQ-001 REQ-049
BUG-003,后端/前端,后端/前端 · 生肖流年结果底部字段空白（贵人/五行关系/风险关系/生肖地支本气生年干五行/行动建议）,S2,已验收,2026-09-07 · 用户走查,d454f88/1dd0b8f/d69708f/02a6c7c/dc4fd4f,REQ-021 REQ-041
BUG-004,后端,后端 · 六爻起卦结果仅显示单个爻,S1,已验收,2026-09-07 · 用户走查,70ae041/1212b45/11ff672/b56a687,REQ-022 REQ-055
BUG-005,前端 C 端,前端 C 端 · MBTI 手动输入类型无 16 型详细文案,S2,已验收,2026-09-07 · 用户走查,a379cc7/1dd0b8f,REQ-039
BUG-006,前端 C 端,前端 C 端 · 星座/MBTI「选择已有档案」入口 UI 不明显,S2,已验收,2026-09-07 · 用户走查,12e14b7/13f52e5,REQ-028
BUG-007,前端 C 端,前端 C 端 · 星盘格局英文未翻译,S2,已验收,2026-09-07 · 用户走查,b61f4e4,
BUG-008,前端 C 端,前端 C 端 · 档案按钮文案「命名」应为「重命名」,S3,已验收,2026-09-07 · 用户走查,1dd0b8f,REQ-037
BUG-009,前端 C 端,前端 C 端 · MBTI 分享链接打开空白（REQ-047 回归）,S2,已验收,2026-09-07 · 真机走查,659237f,REQ-047
BUG-010,前端 C 端,前端 C 端 · 档案内本命盘「查看」跳转逻辑错误,S1,已验收,2026-09-07 · 用户走查,09adfa2/13f52e5,REQ-039
BUG-011,后端/前端,后端/前端 · MBTI 分享链接越权,S0,待验收,2026-09-07 · 用户无痕窗口走查,7105869,REQ-047
BUG-012,前端 C 端,前端 C 端 · 「分享帮填」入口缺失（REQ-070 验收反馈）,S2,待验收,2026-09-07 · 用户走查,e1916b9/e7dfcd5,REQ-070
BUG-013,前端 C 端,前端 C 端 · 功能设置页全部开关不可点击/无响应（用户设置「功能设置」）,S2,待验收,2026-09-07 · 用户走查,7105869/02382b6/6219573,REQ-066
BUG-014,前端 C 端,前端 C 端 · 太初先生落地页把「开发说明文件」当开场白展示,S2,待验收,2026-09-07 · 用户走查,789bee6,REQ-076
BUG-015,后端/前端,后端/前端 · 新用户注册后填写档案无法保存,S1,待验收,2026-09-08 · 用户反馈,7eebc5c,BUG-007 REQ-001
BUG-016,前端 C 端,前端 C 端 · 临时起卦结果落点错误,S2,待验收,2026-09-08 · 用户反馈,5fc0a35,REQ-104
BUG-017,前端 C 端,前端 C 端 · 功能设置「占卜默认模式=自动起卦/抽卡」未生效,S2,待验收,2026-09-08 · 用户反馈,c2ea044,REQ-066
BUG-018,admin 后台,admin 后台 · 背景插槽界面未开启,S2,待验收,2026-09-08 · 用户反馈,9c2b908,REQ-059
BUG-019,admin 后台,admin 后台 · 仍显示「赠积分」而非「充值余额」,S2,待验收,2026-09-08 · 用户反馈,9c2b908,REQ-085
BUG-020,admin 后台,admin 后台 · 用户界面首操作应为「查看用户」而非「查看档案」,S3,待验收,2026-09-08 · 用户反馈,9c2b908,REQ-012
BUG-021,前端 C 端,前端 C 端 · 配对解析未指明是哪个档案未生成数据,S2,待验收,2026-09-08 · 用户反馈,4f8f54f,REQ-072
BUG-022,前端 C 端,前端 C 端 · 档案「修改信息」弹窗弹出位置偏下,S2,待验收,2026-09-08 · 用户反馈,3661e7c,REQ-114
BUG-023,前端 C 端,前端 C 端 · 配对解析弹窗底部按钮右对齐,S3,待验收,2026-09-08 · 用户反馈,4f8f54f,REQ-072 REQ-110
BUG-024,文档,文档 · `standards/03-接口与数据字典.md` 严重滞后,S3,待验收,2026-09-08 · 需求管理员审计,22d6107,REQ-020
BUG-025,前端 C 端,前端 C 端 · Banner 右上角「对坐谈心」文字按钮与菜单键 UI 重合,S3,待办,2026-09-09 · 用户反馈,,REQ-097
BUG-026,admin 后台,admin 后台 · prompt「divination」显示空白,S2,待办,2026-09-09 · 用户反馈,,REQ-048
BUG-027,admin 后台,admin 后台 · 塔罗/雷诺曼牌桌背景·卡背·卡面素材已交付但插槽显示未配置,S2,待办,2026-09-09 · 用户反馈,,REQ-059
