编号,章节,标题,优先级,状态,关联
REQ-001,A. 国学主线（Phase 1–7，已上线）,用户系统,P0,已验收,
REQ-002,A. 国学主线（Phase 1–7，已上线）,排盘引擎,P0,已验收,
REQ-003,A. 国学主线（Phase 1–7，已上线）,LLM 方法模块,P0,已验收,
REQ-004,A. 国学主线（Phase 1–7，已上线）,异步编排,P0,已验收,
REQ-005,A. 国学主线（Phase 1–7，已上线）,前端,P0,已验收,
REQ-006,A. 国学主线（Phase 1–7，已上线）,合规护栏,P0,已验收,
REQ-010,B. 积分与支付（P1/P2）,积分系统,P0,已验收,
REQ-011,B. 积分与支付（P1/P2）,金数据支付,P1,已验收,
REQ-012,B. 积分与支付（P1/P2）,后台,P1,已验收,
REQ-051,B. 积分与支付（P1/P2）,积分余额显示改版,P2,已验收,REQ-010 REQ-063 REQ-085 REQ-087
REQ-063,B. 积分与支付（P1/P2）,余额详情与消费明细可读化,P1,待验收,REQ-010 REQ-051
REQ-085,B. 积分与支付（P1/P2）,「积分」概念全站废除 → 余额与 Token 绑定（计费体系改造,P1,待验收,REQ-051
REQ-020,C. 横向扩展（Phase A–D）,三大入口 + 左侧 nav-rail + 模块主题背景,P1,已验收,
REQ-021,C. 横向扩展（Phase A–D）,生肖流年（确定性零 LLM,P1,已验收,
REQ-022,C. 横向扩展（Phase A–D）,临时起卦,P1,已验收,
REQ-023,C. 横向扩展（Phase A–D）,塔罗,P1,已验收,
REQ-024,C. 横向扩展（Phase A–D）,雷诺曼,P1,已验收,
REQ-025,C. 横向扩展（Phase A–D）,星座,P1,已验收,
REQ-026,C. 横向扩展（Phase A–D）,MBTI,P1,已验收,
REQ-027,C. 横向扩展（Phase A–D）,导航交互重构,P1,已验收,BUG-001
REQ-028,C. 横向扩展（Phase A–D）,统一档案体系,P1,已验收,
REQ-118,C. 横向扩展（Phase A–D）,大六壬（liuren）起课与断课,P2,待验收,REQ-022 REQ-048
REQ-119,C. 横向扩展（Phase A–D）,金口诀（jinkoujue）起课与断课,P2,待验收,REQ-022 REQ-048
REQ-120,C. 横向扩展（Phase A–D）,奇门时家（qimen,P2,待验收,REQ-002 REQ-022 REQ-048
REQ-121,C. 横向扩展（Phase A–D）,黄历择日（almanac,P2,待验收,REQ-022 REQ-048
REQ-122,C. 横向扩展（Phase A–D）,塔罗牌阵扩充至 19 个（现有 5 + 新增 14,P2,待验收,REQ-023 REQ-122 REQ-123
REQ-123,C. 横向扩展（Phase A–D）,塔罗「选择牌阵」分组折叠,P2,待验收,REQ-042 REQ-107
REQ-124,C. 横向扩展（Phase A–D）,太乙神数（taiyi,P2,待验收,REQ-118
REQ-125,C. 横向扩展（Phase A–D）,皇极经世（huangji,P2,待验收,REQ-118
REQ-126,C. 横向扩展（Phase A–D）,国学预测导航分层重构（信息架构 + 菜单；收纳 REQ-118~125 国学侧…,P1,待验收,REQ-027 REQ-094 REQ-100 REQ-104 REQ-105
REQ-127,C. 横向扩展（Phase A–D）,6 方法「名词白话卡」文案生产（免费静态解释·第①层；整段人话归付费 AI 深…,P2,待验收,REQ-118 REQ-128
REQ-129,C. 横向扩展（Phase A–D）,塔罗抽牌与摆位呈现 v2（两段式,P1,待验收,REQ-042 REQ-059 REQ-122 REQ-130
